4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
City Of Clarksburg,13426,2,Clarksburg,,USA,WV,Mid-Atlantic,"$8,498,290",Very Small,801,"$7,403,420",908,"$3,707,662",335,50.1%,,,,,"$10,610",1.55,$33.86,"$8,939",,,,,,,,,,,,,,,,,,,,,,,
Burlington Northern Santa Fe Railwy,68180,2,Cicero,,USA,IL,Midwest,"$8,473,268",Very Small,"1,631","$6,899,332","1,851","$3,188,473",474,46.2%,,,,,"$5,195",1.43,$17.00,"$4,339",,,,,,,,,,,,,,,,,,,,,,,
Sewerage & Water Board Employees,2056,2,New Orleans,,USA,LA,Southeast,"$8,473,135",Very Small,"1,594","$7,861,236","2,650","$3,749,959",429,47.7%,,,,,"$5,316",1.93,-$4.96,"$3,771",,,,,,,,,,,,,,,,,,,,,,,
Berkeley County Public Schools,21499,2,Martinsburg,,USA,WV,Mid-Atlantic,"$8,443,005",Very Small,"1,110","$7,891,147","1,764","$4,580,316",315,58.0%,,,,,"$7,606",1.87,$27.99,"$5,999",,,,,,,,,,,,,,,,,,,,,,,
Community First CU (MO),64746,2,Hannibal,,USA,MO,South Central,"$8,440,870",Very Small,"1,077","$7,579,997","1,444","$6,329,593",533,83.5%,,,,,"$7,837",1.84,$8.54,"$7,036",,,,,,,,,,,,,,,,,,,,,,,
Duluth Police Department Employees,64359,2,Duluth,,USA,MN,Midwest,"$8,401,887",Very Small,710,"$6,784,722",710,"$4,936,016",318,72.8%,,,,,"$11,834",1.45,$14.61,"$11,401",,,,,,,,,,,,,,,,,,,,,,,
Iberville,12356,2,Plaquemine,,USA,LA,Southeast,"$8,392,051",Very Small,"2,048","$6,981,263","2,924","$2,641,518",514,37.8%,Y,,Y,,"$4,098",1.68,$22.63,"$2,799",,,,,,,,,,,,,,,,,,,,,,,
Bee,9893,2,Salisbury,,USA,MD,Mid-Atlantic,"$8,386,494",Very Small,992,"$6,467,668","1,025","$2,831,709",469,43.8%,,,,,"$8,454",1.51,$11.39,"$6,224",,,,,,,,,,,,,,,,,,,,,,,
Wharton County Teachers,67458,2,Wharton,,USA,TX,South Central,"$8,385,255",Very Small,709,"$6,343,619",752,"$1,639,215",141,25.8%,,,,,"$11,827",1.26,$34.65,"$8,939",,,,,,,,,,,,,,,,,,,,,,,
Plattsburgh City School District,12873,2,Plattsburgh,,USA,NY,Mid-Atlantic,"$8,346,740",Very Small,757,"$7,042,344","1,149","$6,711,056",611,95.3%,,,,,"$11,026",2.32,$14.72,"$7,814",,,,,,,,,,,,,,,,,,,,,,,
Sister's Hospital Employees,20279,2,Buffalo,,USA,NY,Mid-Atlantic,"$8,345,223",Very Small,"1,427","$7,408,106","1,495","$3,676,660",308,49.6%,,,,,"$5,848",1.26,-$2.21,"$6,148",,,,,,,,,,,,,,,,,,,,,,,
Jackson County,10324,2,Edna,,USA,TX,South Central,"$8,327,843",Very Small,721,"$7,622,546","1,097","$6,366,337",303,83.5%,,,,,"$11,550",1.94,$19.01,"$9,992",,,,,,,,,,,,,,,,,,,,,,,
Rock Community,21020,2,Rock,,USA,MI,Midwest,"$8,320,329",Very Small,839,"$7,654,975","1,447","$2,744,560",261,35.9%,,,,,"$9,917",2.04,$15.90,"$6,089",,,,,,,,,,,,,,,,,,,,,,,
Highway District 19 Employees,60491,2,Atlanta,,USA,TX,South Central,"$8,279,079",Very Small,"1,520","$6,799,579","1,520","$5,577,376",688,82.0%,,,,,"$5,447",1.45,$20.43,"$5,606",,,,,,,,,,,,,,,,,,,,,,,
Reading Mass. Town Employees,21997,2,Reading,,USA,MA,New England,"$8,275,782",Very Small,650,"$6,824,654",787,"$3,072,122",197,45.0%,,,,,"$12,732",1.51,$66.79,"$10,058",,,,,,,,,,,,,,,,,,,,,,,
Delta,24893,2,Greenville,,USA,MS,Southeast,"$8,254,484",Very Small,"1,731","$6,219,491","2,010","$2,980,204",861,47.9%,,,,,"$4,769",1.66,$16.55,"$3,204",,,,,,,,,,,,,,,,,,,,,,,
Post Gazette,90,2,Clinton,,USA,PA,Mid-Atlantic,"$8,232,518",Very Small,"1,413","$3,159,037","1,500","$3,920,769",509,124.1%,,,,,"$5,826",1.42,-$2.98,"$3,524",,,,,,,,,,,,,,,,,,,,,,,
Umico,3313,2,New Hartford,,USA,NY,Mid-Atlantic,"$8,148,633",Very Small,871,"$7,299,536","1,730","$5,034,223",531,69.0%,,,,,"$9,355",2.60,$0.94,"$5,455",,,,,,,,,,,,,,,,,,,,,,,
Natural State,24432,2,Searcy,,USA,AR,South Central,"$8,096,547",Very Small,"1,275","$6,017,562","1,790","$6,853,563",657,113.9%,,,,,"$6,350",1.92,$6.03,"$5,260",,,,,,,,,,,,,,,,,,,,,,,
Danvers Municipal,14191,2,Danvers,,USA,MA,New England,"$8,092,929",Very Small,"1,087","$5,214,710","1,087","$5,270,280",337,101.1%,,,,,"$7,445",1.31,$26.09,"$7,363",,,,,,,,,,,,,,,,,,,,,,,
Longshore FCU,13857,2,Aberdeen,Hoquiam,USA,WA,Cascadia,"$8,069,628",Very Small,411,"$7,329,971",679,"$3,517,468",213,48.0%,,,,,"$19,634",2.17,$14.70,"$12,161",,,,,,,,,,,,,,,,,,,,,,,
Pan Amoco,8920,2,Metairie,,USA,LA,Southeast,"$8,059,764",Very Small,"1,152","$7,116,769","1,504","$4,295,983",264,60.4%,,,,,"$6,996",1.53,-$0.75,"$6,455",,,,,,,,,,,,,,,,,,,,,,,
Arkansas Education Association,23170,2,Little Rock,,USA,AR,South Central,"$8,030,952",Very Small,"1,946","$7,088,402","2,871","$4,233,744",435,59.7%,,,,,"$4,127",1.70,-$38.99,"$3,425",,,,,,,,,,,,,,,,,,,,,,,
Allegheny Central,841,2,Dunbar,,USA,PA,Mid-Atlantic,"$8,023,581",Very Small,879,"$6,681,692","1,358","$4,848,092",457,72.6%,,,,,"$9,128",2.06,$48.14,"$6,352",,,,,,,,,,,,,,,,,,,,,,,
Public Service H C Employees,9082,2,Brick,,USA,NJ,Mid-Atlantic,"$8,017,232",Very Small,713,"$5,396,827",713,"$792,309",146,14.7%,,,,,"$11,244",1.20,$20.59,"$7,205",,,,,,,,,,,,,,,,,,,,,,,
Lovers Lane,64208,2,Saint Joseph,,USA,MO,South Central,"$8,016,474",Very Small,"1,034","$6,792,440","1,034","$7,039,335",958,103.6%,,,,,"$7,753",1.93,$3.79,"$6,944",,,,,,,,,,,,,,,,,,,,,,,
Phb Employees,6277,2,Fairview,,USA,PA,Mid-Atlantic,"$8,011,013",Very Small,"1,166","$6,519,107","2,020","$2,463,691",528,37.8%,,,,,"$6,871",2.19,$25.51,"$3,525",,,,,,,,,,,,,,,,,,,,,,,
Linden Nj Police & Firemen,2617,2,Linden,,USA,NJ,Mid-Atlantic,"$7,990,625",Very Small,"1,112","$5,788,759","1,138","$855,505",197,14.8%,,,,,"$7,186",1.20,$8.89,"$4,977",,,,,,,,,,,,,,,,,,,,,,,
Quay Schools,14758,2,Tucumcari,,USA,NM,Western,"$7,955,799",Very Small,"1,140","$5,775,773","1,249","$4,903,610",450,84.9%,,,,,"$6,979",1.49,$11.31,"$6,286",,,,,,,,,,,,,,,,,,,,,,,
Joliet Firefighters,65555,2,Joliet,,USA,IL,Midwest,"$7,917,638",Very Small,569,"$7,123,080",601,"$5,327,540",298,74.8%,,,,,"$13,915",1.58,$18.42,"$13,849",,,,,,,,,,,,,,,,,,,,,,,
Par-del Emp.,22723,2,Wyoming,,USA,PA,Mid-Atlantic,"$7,881,315",Very Small,690,"$6,756,076",908,"$3,040,088",231,45.0%,,,,,"$11,422",1.65,-$48.92,"$8,601",,,,,,,,,,,,,,,,,,,,,,,
Northwood,5062,2,Philadelphia,,USA,PA,Mid-Atlantic,"$7,846,694",Very Small,367,"$6,401,362",574,"$2,716,907",71,42.4%,,,,,"$21,381",1.76,$2.09,"$14,137",,,,,,,,,,,,,,,,,,,,,,,
Rio Blanco Schools,13161,2,Rangely,,USA,CO,Western,"$7,768,172",Very Small,775,"$6,254,945","1,054","$4,760,835",459,76.1%,,,,,"$10,023",1.95,$29.92,"$7,281",,,,,,,,,,,,,,,,,,,,,,,
Memorial,63802,2,Chattanooga,,USA,TN,Southeast,"$7,714,404",Very Small,"1,341","$6,459,128","1,801","$4,769,659",498,73.8%,,,,,"$5,753",1.71,-$16.42,"$4,884",,,,,,,,,,,,,,,,,,,,,,,
Pontiac Dwight Prison Employs,60299,2,Pontiac,,USA,IL,Midwest,"$7,710,556",Very Small,951,"$6,868,224","1,332","$2,872,737",233,41.8%,,,,,"$8,108",1.65,$17.91,"$6,224",,,,,,,,,,,,,,,,,,,,,,,
Colfax Power Plant Employees,3237,2,Springdale,,USA,PA,Mid-Atlantic,"$7,706,746",Very Small,"1,068","$6,730,510","1,572","$5,902,081",693,87.7%,,,,,"$7,216",2.12,$2.81,"$5,577",,,,,,,,,,,,,,,,,,,,,,,
Shreveport Police,6048,2,Shreveport,,USA,LA,Southeast,"$7,700,177",Very Small,999,"$6,424,146","1,222","$5,543,997",506,86.3%,,,,,"$7,708",1.73,$31.14,"$6,926",,,,,,,,,,,,,,,,,,,,,,,
La Crosse-burlington,66406,2,La Crosse,,USA,WI,Midwest,"$7,684,166",Very Small,915,"$6,665,665","1,406","$3,028,448",323,45.4%,,,,,"$8,398",1.89,$23.18,"$5,607",,,,,,,,,,,,,,,,,,,,,,,
U-haul,15847,2,Phoenix,,USA,AZ,Western,"$7,667,254",Very Small,"3,839","$6,862,167","6,301","$3,876,293",825,56.5%,,,,,"$1,997",1.86,-$44.59,"$1,507",,,,,,,,,,,,,,,,,,,,,,,
Port Terminal,14512,2,Houston,,USA,TX,South Central,"$7,657,234",Very Small,629,"$4,659,934",668,"$4,729,635",304,101.5%,,,,,"$12,174",1.55,$22.40,"$9,660",,,,,,,,,,,,,,,,,,,,,,,
Seneca Nation Of Indians,24863,2,Irving,,USA,NY,Mid-Atlantic,"$7,655,690",Very Small,"2,418","$6,688,187","4,362","$4,951,586",556,74.0%,,,,,"$3,166",2.03,$0.50,"$2,367",,,,,,,,,,,,,,,,,,,,,,,
Local 520 U A,14283,2,Harrisburg,,USA,PA,Mid-Atlantic,"$7,648,322",Very Small,"1,525","$6,253,834","1,684","$4,840,538",851,77.4%,,,,,"$5,015",1.66,-$24.02,"$4,376",,,,,,,,,,,,,,,,,,,,,,,
Moore County Schools,11458,2,Dumas,,USA,TX,South Central,"$7,624,020",Very Small,806,"$4,608,533",765,"$3,619,666",644,78.5%,,,,,"$9,459",1.75,-$24.93,"$5,840",,,,,,,,,,,,,,,,,,,,,,,
Arcade,62114,2,Asheville,,USA,NC,Southeast,"$7,615,224",Very Small,806,"$6,579,189","1,222","$4,732,272",461,71.9%,,,,,"$9,448",2.09,$37.73,"$6,721",,,,,,,,,,,,,,,,,,,,,,,
Somerville Mass Firefighters,943,2,Somerville,,USA,MA,New England,"$7,611,797",Very Small,275,"$6,283,947",275,"$2,964,621",148,47.2%,,,,,"$27,679",1.54,$44.11,"$21,864",,,,,,,,,,,,,,,,,,,,,,,
Riverview,65448,2,South Saint Pau,,USA,MN,Midwest,"$7,588,680",Very Small,489,"$6,323,065",713,"$6,547,704",251,103.6%,,,,,"$15,519",1.97,$6.16,"$13,351",,,,,,,,,,,,,,,,,,,,,,,
Florida Customs,378,2,Tampa,,USA,FL,Southeast,"$7,574,250",Very Small,"1,052","$5,804,609","1,328","$2,211,090",197,38.1%,,,,,"$7,200",1.45,-$0.73,"$5,256",,,,,,,,,,,,,,,,,,,,,,,
Oak Cliff Christian,24804,2,Dallas,,USA,TX,South Central,"$7,562,387",Very Small,"1,678","$6,997,484","2,121","$5,097,844",335,72.9%,,,,,"$4,507",1.46,$4.44,"$4,925",,,,,,,,,,,,,,,,,,,,,,,
Peoples Choice,60039,2,Coffeyville,,USA,KS,South Central,"$7,558,852",Very Small,628,"$5,743,040","1,128","$2,674,385",316,46.6%,,,,,"$12,036",2.30,$7.07,"$5,829",,,,,,,,,,,,,,,,,,,,,,,
Union County Employees,14329,2,Elizabeth,,USA,NJ,Mid-Atlantic,"$7,541,389",Very Small,"1,137","$6,063,319","1,546","$1,901,172",476,31.4%,,,,,"$6,633",1.78,$22.34,"$3,939",,,,,,,,,,,,,,,,,,,,,,,
Kc Fairfax,5589,2,Kansas City,,USA,KS,South Central,"$7,540,490",Very Small,"2,013","$6,656,056","2,952","$3,652,648",496,54.9%,,,,,"$3,746",1.71,-$12.17,"$2,990",,,,,,,,,,,,,,,,,,,,,,,
C-f La.,63851,2,Donaldsonville,,USA,LA,Southeast,"$7,523,000",Very Small,"1,188","$6,268,288","1,188","$3,933,913",261,62.8%,,,,,"$6,332",1.22,$12.77,"$7,041",,,,,,,,,,,,,,,,,,,,,,,
Natural Resources Conservation Serv,2158,2,Fort Worth,,USA,TX,South Central,"$7,520,863",Very Small,813,"$6,187,127","1,189","$3,074,226",447,49.7%,,,,,"$9,251",2.01,-$19.86,"$5,661",,,,,,,,,,,,,,,,,,,,,,,
Columbiana County School Empl,63676,2,Lisbon,,USA,OH,Midwest,"$7,509,238",Very Small,937,"$5,819,857",939,"$2,557,564",278,43.9%,,,,,"$8,014",1.30,$13.57,"$6,884",,,,,,,,,,,,,,,,,,,,,,,
St. Colman & Affiliates,3462,2,Cleveland,,USA,OH,Midwest,"$7,474,683",Very Small,"3,082","$6,875,942","2,788","$5,088,803","1,215",74.0%,,,,,"$2,425",1.30,$1.52,"$2,989",,,,,,,,,,,,,,,,,,,,,,,
St. Mary,65636,2,Walsenburg,,USA,CO,Western,"$7,470,679",Very Small,"1,544","$5,991,666","1,544","$3,274,168",281,54.6%,,,,,"$4,839",1.18,-$14.86,"$5,077",,,,,,,,,,,,,,,,,,,,,,,
Penn South Cooperative,15459,2,New York,,USA,NY,Mid-Atlantic,"$7,459,417",Very Small,789,"$6,197,728",935,"$6,660,596",139,107.5%,,,,,"$9,454",1.36,-$26.79,"$11,972",,,,,,,,,,,,,,,,,,,,,,,
Arkansas Farm Bureau,24439,2,Little Rock,,USA,AR,South Central,"$7,422,927",Very Small,535,"$5,417,274",623,"$3,314,614",235,61.2%,,,,,"$13,875",1.60,$71.98,"$10,177",,,,,,,,,,,,,,,,,,,,,,,
Middlesex County N J Emp,18628,2,North Brunswick,,USA,NJ,Mid-Atlantic,"$7,419,557",Very Small,"1,365","$6,419,624","1,913","$1,559,164",274,24.3%,,,,,"$5,436",1.60,-$3.49,"$3,648",,,,,,,,,,,,,,,,,,,,,,,
Elizabeth (n.j.) Firemen's,916,2,Elizabeth,,USA,NJ,Mid-Atlantic,"$7,414,889",Very Small,"1,190","$6,628,411","2,087","$2,833,800",239,42.8%,,,,,"$6,231",1.95,-$41.13,"$4,068",,,,,,,,,,,,,,,,,,,,,,,
Sherwin,12259,2,Portland,,USA,TX,South Central,"$7,414,708",Very Small,"1,884","$4,821,631","1,195","$3,324,780",308,69.0%,,,,,"$3,936",0.80,-$7.09,"$5,420",,,,,,,,,,,,,,,,,,,,,,,
Copper & Glass,2796,2,Glassport,,USA,PA,Mid-Atlantic,"$7,409,137",Very Small,"1,322","$6,575,860","2,200","$3,850,041",587,58.5%,,,,,"$5,604",2.11,$6.89,"$3,741",,,,,,,,,,,,,,,,,,,,,,,
Redeemer,24867,2,Plano,,USA,TX,South Central,"$7,377,407",Very Small,"1,051","$5,772,381","1,079","$2,016,194",166,34.9%,,,,,"$7,019",1.18,$32.38,"$6,256",,,,,,,,,,,,,,,,,,,,,,,
Mower County Catholic Parishes,63258,2,Austin,,USA,MN,Midwest,"$7,374,290",Very Small,998,"$6,166,412","1,122","$4,981,270",547,80.8%,,,,,"$7,389",1.67,$27.08,"$6,679",,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri Community,67716,2,Park Hills,,USA,MO,South Central,"$7,344,083",Very Small,"1,343","$6,605,225","2,307","$4,399,877",521,66.6%,,,,,"$5,468",2.11,-$43.41,"$3,891",,,,,,,,,,,,,,,,,,,,,,,
Ukrainian Selfreliance Of West. Pa.,21530,2,Carnegie,,USA,PA,Mid-Atlantic,"$7,341,438",Very Small,770,"$6,530,204","1,126","$3,522,608",564,53.9%,,,,,"$9,534",2.19,-$24.02,"$5,948",,,,,,,,,,,,,,,,,,,,,,,
Medford Municipal Employees,24615,2,Medford,,USA,MA,New England,"$7,336,439",Very Small,783,"$5,635,993",783,"$2,349,921",275,41.7%,,,,,"$9,370",1.35,$0.79,"$7,548",,,,,,,,,,,,,,,,,,,,,,,
Lowell Municipal Employees,2065,2,Lowell,,USA,MA,New England,"$7,313,964",Very Small,"1,249","$5,990,681","1,478","$5,390,413",543,90.0%,,,,,"$5,856",1.62,$14.58,"$5,631",,,,,,,,,,,,,,,,,,,,,,,
Pace Resources,19501,2,York,,USA,PA,Mid-Atlantic,"$7,311,687",Very Small,672,"$6,349,490","1,032","$2,034,434",266,32.0%,,,,,"$10,880",1.93,$52.32,"$6,459",,,,,,,,,,,,,,,,,,,,,,,
Passaic Police,12227,2,Passaic,,USA,NJ,Mid-Atlantic,"$7,309,599",Very Small,638,"$6,678,676",638,"$1,967,221",213,29.5%,,,,,"$11,457",1.33,$28.68,"$10,160",,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Letter Carriers,5539,2,Philadelphia,,USA,PA,Mid-Atlantic,"$7,303,576",Very Small,"1,358","$5,914,350","2,229","$6,450,809",618,109.1%,,,,,"$5,378",2.10,$8.45,"$4,343",,,,,,,,,,,,,,,,,,,,,,,
Victoria City-county Employees,13672,2,Victoria,,USA,TX,South Central,"$7,289,047",Very Small,961,"$6,268,846","1,278","$3,831,781",395,61.1%,,,,,"$7,585",1.74,$15.37,"$6,037",,,,,,,,,,,,,,,,,,,,,,,
Seminole Public Schools,17154,2,Seminole,,USA,TX,South Central,"$7,280,214",Very Small,768,"$5,575,536",768,"$3,196,665",322,57.3%,,,,,"$9,479",1.42,$1.72,"$8,048",,,,,,,,,,,,,,,,,,,,,,,
U.a.l.u. 354,23174,2,Youngwood,,USA,PA,Mid-Atlantic,"$7,269,170",Very Small,"1,600","$6,359,316","3,198","$5,345,538",464,84.1%,,,,,"$4,543",2.29,$2.24,"$3,196",,,,,,,,,,,,,,,,,,,,,,,
Gallatin Steam Plant,63868,2,Gallatin,,USA,TN,Southeast,"$7,254,161",Very Small,654,"$6,051,730",755,"$4,569,011",343,75.5%,,,,,"$11,092",1.68,$31.56,"$9,673",,,,,,,,,,,,,,,,,,,,,,,
Ace,64323,2,Mason City,,USA,IA,Midwest,"$7,254,099",Very Small,804,"$5,859,822",824,"$2,396,187",199,40.9%,,,,,"$9,023",1.27,$32.68,"$8,070",,,,,,,,,,,,,,,,,,,,,,,
Erie City Employees,8913,2,Erie,,USA,PA,Mid-Atlantic,"$7,232,752",Very Small,831,"$5,698,080","1,106","$4,669,397",392,81.9%,,,,,"$8,704",1.80,$3.64,"$6,921",,,,,,,,,,,,,,,,,,,,,,,
Orlex Government Employees,64782,2,Newport,,USA,VT,New England,"$7,226,292",Very Small,"1,313","$6,437,955","1,864","$6,176,553",636,95.9%,,,,,"$5,504",1.90,-$6.33,"$5,046",,,,,,,,,,,,,,,,,,,,,,,
Sweetwater Regional,11377,2,Sweetwater,,USA,TX,South Central,"$7,223,358",Very Small,850,"$5,805,528","1,175","$2,675,614",234,46.1%,,,,,"$8,498",1.66,-$25.98,"$6,019",,,,,,,,,,,,,,,,,,,,,,,
West Michigan Postal Service,7910,2,Muskegon,,USA,MI,Midwest,"$7,220,815",Very Small,816,"$6,359,201","1,315","$4,423,368",469,69.6%,,,,,"$8,849",2.19,$16.99,"$6,044",,,,,,,,,,,,,,,,,,,,,,,
Kraton Belpre,20204,2,Belpre,,USA,OH,Midwest,"$7,211,448",Very Small,698,"$5,628,756",837,"$2,456,150",208,43.6%,,,,,"$10,332",1.50,$7.89,"$7,737",,,,,,,,,,,,,,,,,,,,,,,
Galveston Government Employees,67427,2,Dickinson,,USA,TX,South Central,"$7,207,679",Very Small,"1,892","$6,494,548","1,728","$6,097,143",351,93.9%,,,,,"$3,810",1.10,-$1.41,"$6,057",,,,,,,,,,,,,,,,,,,,,,,
Msd,20595,2,Louisville,,USA,KY,Southeast,"$7,166,632",Very Small,785,"$6,227,012","2,125","$3,315,676",500,53.2%,,,,,"$9,129",3.34,-$346.01,"$3,635",,,,,,,,,,,,,,,,,,,,,,,
The Florist,19567,2,Roswell,,USA,NM,Western,"$7,150,143",Very Small,717,"$5,959,553","1,244","$5,120,147","1,098",85.9%,,,,,"$9,972",3.27,-$0.10,"$4,731",,,,,,,,,,,,,,,,,,,,,,,
I.l.a. Local 1235,23807,2,Newark,,USA,NJ,Mid-Atlantic,"$7,144,881",Very Small,577,"$6,176,114",685,"$4,420,124",262,71.6%,,,,,"$12,383",1.64,$18.98,"$11,189",,,,,,,,,,,,,,,,,,,,,,,
Brownsville City Employees,20392,2,Brownsville,,USA,TX,South Central,"$7,113,728",Very Small,"1,335","$5,041,464","1,325","$3,244,228",658,64.4%,,,,,"$5,329",1.49,$34.69,"$4,178",,,,,,,,,,,,,,,,,,,,,,,
B E T,3653,2,Bronxville,,USA,NY,Mid-Atlantic,"$7,095,023",Very Small,463,"$6,409,207",463,"$1,864,108",133,29.1%,,,,,"$15,324",1.29,$4.23,"$13,881",,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky,19280,2,Prestonsburg,,USA,KY,Southeast,"$7,070,841",Very Small,799,"$6,313,088","1,395","$4,374,749",376,69.3%,,,,,"$8,850",2.22,$0.00,"$6,035",,,,,,,,,,,,,,,,,,,,,,,
Westacres,62316,2,West Bloomfield,,USA,MI,Midwest,"$7,069,407",Very Small,583,"$6,096,292",604,"$1,381,446",72,22.7%,,,,,"$12,126",1.16,$7.09,"$11,062",,,,,,,,,,,,,,,,,,,,,,,
D C Fire Department,6088,2,Washington,,USA,DC,Mid-Atlantic,"$7,061,313",Very Small,"1,661","$5,485,700","1,657","$2,987,010",614,54.5%,,,,,"$4,251",1.37,$3.15,"$3,731",,,,,,,,,,,,,,,,,,,,,,,
Box Butte Public Employees,4176,2,Alliance,,USA,NE,Midwest,"$7,049,813",Very Small,639,"$6,282,932","1,052","$5,139,631",478,81.8%,,,,,"$11,033",2.39,-$67.74,"$7,466",,,,,,,,,,,,,,,,,,,,,,,
Deca,64825,2,Cincinnati,,USA,OH,Midwest,"$7,006,642",Very Small,"1,594","$5,810,706","2,943","$4,514,549",287,77.7%,,,,,"$4,396",2.03,$18.06,"$3,197",,,,,,,,,,,,,,,,,,,,,,,
Local 20 Ibew,16429,2,Grand Prairie,,USA,TX,South Central,"$7,006,384",Very Small,"2,838","$4,527,483","5,008","$4,237,747",592,93.6%,,,,,"$2,469",1.97,$6.04,"$1,565",,,,,,,,,,,,,,,,,,,,,,,
Fireman's,64594,2,Birmingham,,USA,AL,Southeast,"$7,005,456",Very Small,875,"$4,516,048",875,"$3,427,407",478,75.9%,,,,,"$8,006",1.55,$10.04,"$5,871",,,,,,,,,,,,,,,,,,,,,,,
Andrews School,10739,2,Andrews,,USA,TX,South Central,"$6,969,503",Very Small,787,"$5,249,006",825,"$3,794,421",273,72.3%,,,,,"$8,856",1.40,$31.03,"$8,236",,,,,,,,,,,,,,,,,,,,,,,
Molex Employees,23109,2,Lisle,,USA,IL,Midwest,"$6,963,228",Very Small,"1,199","$5,901,194","1,238","$5,039,419",287,85.4%,,,,,"$5,808",1.27,$9.76,"$7,174",,,,,,,,,,,,,,,,,,,,,,,
Shaw-ross Employees,67327,2,Miami,,USA,FL,Southeast,"$6,963,212",Very Small,628,"$5,880,464",628,"$269,540",73,4.6%,,,,,"$11,088",1.12,$16.37,"$8,773",,,,,,,,,,,,,,,,,,,,,,,
Kahuku,2275,2,Kahuku,,USA,HI,Western,"$6,957,661",Very Small,"2,089","$5,007,810","2,063","$5,513,036",471,110.1%,,,,,"$3,331",1.21,$9.04,"$4,152",,,,,,,,,,,,,,,,,,,,,,,
Compassionate Care,66755,2,Fond Du Lac,,USA,WI,Midwest,"$6,954,867",Very Small,"1,222","$6,425,532","2,052","$4,775,143",403,74.3%,,,,,"$5,691",2.01,$20.19,"$4,562",,,,,,,,,,,,,,,,,,,,,,,
Halifax County Community,23760,2,South Boston,,USA,VA,Mid-Atlantic,"$6,945,486",Very Small,"2,005","$6,383,295","2,230","$741,542",339,11.6%,,,,,"$3,464",1.28,-$2.73,"$2,773",,,,,,,,,,,,,,,,,,,,,,,
West Hudson Teachers,2127,2,North Arlington,,USA,NJ,Mid-Atlantic,"$6,937,270",Very Small,836,"$6,210,493",836,"$1,105,296",294,17.8%,,,,,"$8,298",1.35,$17.52,"$6,474",,,,,,,,,,,,,,,,,,,,,,,
Teachers,65774,2,Oklahoma City,,USA,OK,South Central,"$6,933,645",Very Small,"2,255","$4,720,683","2,255","$2,978,898",665,63.1%,,,,,"$3,075",1.29,-$12.15,"$2,637",,,,,,,,,,,,,,,,,,,,,,,
Grand Central Terminal Employees,1059,2,New York,,USA,NY,Mid-Atlantic,"$6,932,513",Very Small,"1,554","$5,989,720","1,554","$1,639,087",288,27.4%,,,,,"$4,461",1.19,-$13.74,"$4,142",,,,,,,,,,,,,,,,,,,,,,,
Oshkosh Postal Employees,66418,2,Oshkosh,,USA,WI,Midwest,"$6,921,328",Very Small,520,"$6,389,349",914,"$4,426,089",394,69.3%,,,,Y,"$13,310",2.52,$34.86,"$8,269",,,,,,,,,,,,,,,,,,,,,,,
Johnstown School Employees,3120,2,Johnstown,,USA,PA,Mid-Atlantic,"$6,916,283",Very Small,527,"$5,307,793",527,"$3,610,453",288,68.0%,,,,,"$13,124",1.55,$5.90,"$10,943",,,,,,,,,,,,,,,,,,,,,,,
Ssmok Employees,16755,2,Oklahoma City,,USA,OK,South Central,"$6,896,837",Very Small,851,"$5,499,453","1,221","$3,389,384",281,61.6%,,,,,"$8,104",1.76,-$25.14,"$5,918",,,,,,,,,,,,,,,,,,,,,,,
Bayonne School Employees,2641,2,Bayonne,,USA,NJ,Mid-Atlantic,"$6,891,409",Very Small,753,"$6,388,304",753,"$310,420",154,4.9%,,,,,"$9,152",1.20,$68.74,"$7,386",,,,,,,,,,,,,,,,,,,,,,,
Ocnac #1,5987,2,Jersey City,,USA,NJ,Mid-Atlantic,"$6,853,708",Very Small,"2,311","$6,084,562","3,197","$1,933,768",757,31.8%,,,,,"$2,966",1.71,$2.49,"$2,028",,,,,,,,,,,,,,,,,,,,,,,
Nickel Steel,9000,2,Lima,,USA,OH,Midwest,"$6,851,277",Very Small,550,"$5,227,749",958,"$2,707,954",337,51.8%,,,,,"$12,457",2.35,$62.32,"$6,128",,,,,,,,,,,,,,,,,,,,,,,
